participant # overall,participant by year,acreage,latitude,longitude
2022-127,2022-6,0.0046,35.0899389,-106.6123709
2022-128,2022-7,0.1722,35.175282,-106.6979895
2022-129,2022-8,0.0344,35.1230598,-106.581337
2022-130,2022-9,0.2525,35.1175948,-106.6841464
2022-131,2022-10,0.1148,35.1922754,-106.7353456
2022-132,2022-11,0.1722,35.1210489,-106.5551913
2022-133,2022-12,0.1148,35.1118861,-106.6845873
2022-134,2022-13,0.0011,35.0462177,-106.5000668
2022-135,2022-14,0.1722,35.1176242,-106.6413889
2022-136,2022-15,0.9871,35.0907803,-106.6649161
2022-137,2022-16,0.0011,35.1245105,-106.6564975
2022-138,2022-17,0.0230,35.0661308,-106.5849291
2022-139,2022-18,0.0230,35.0951175,-106.6177113
2022-140,2022-19,0.0574,35.121907,-106.5332837
2022-141,2022-20,0.0574,35.1398565,-106.5542558
2022-142,2022-21,0.0115,35.0816647,-106.6127871
2022-143,2022-22,0.5000,35.0947957,-106.668785
2022-144,2022-23,0.0574,35.3157367,-106.6073276
2022-145,2022-24,0.0230,35.0871284,-106.6118172
2022-146,2022-25,0.5051,35.0831452,-106.5997097
2022-147,2022-26,0.1148,35.0988383,-106.6412433
2022-148,2022-27,0.0574,35.0953258,-106.6826724
2022-149,2022-28,0.0115,35.0713442,-106.6184445
2022-150,2022-29,0.1722,35.0674265,-106.5906872
2022-151,2022-30,0.0344,35.1160107,-106.6567179
2022-152,2022-31,0.0574,35.0563241,-106.5735093
2022-153,2022-32,0.5051,35.0936378,-106.6553362
2022-154,2022-33,0.9871,35.2986874,-106.5967603
2022-155,2022-34,0.5051,35.1149007,-106.5879618
2022-156,2022-35,0.0574,35.0822205,-106.5993409
2022-157,2022-36,0.0344,35.0711724,-106.6042058
2022-158,2022-37,0.0344,35.132324,-106.659431
2022-159,2022-38,0.2525,35.0911155,-106.567345
2022-160,2022-39,0.0115,35.1369305,-106.5256802
2022-161,2022-40,0.0574,35.1924026,"-106.677427,17"
2022-162,2022-41,0.2525,35.3306924,-106.5329989
2022-163,2022-42,0.0115,35.3085782,-106.7231417
2022-164,2022-43,0.0574,35.2251346,-106.6912631
2022-165,2022-44,0.0230,35.221692,-106.644889
2022-166,2022-45,0.1148,35.3422498,-106.6058817
2022-167,2022-46,1.0101,35.1136077,-106.6733876
2022-168,2022-47,0.1148,35.0791698,-106.6888911
2022-169,2022-48,0.0344,35.1847559,-106.6592666
2022-170,2022-49,0.0230,35.3110685,-106.5736014
2022-171,2022-50,0.5051,35.0818355,-106.5995227
2022-172,2022-51,0.0230,35.0958432,-106.6190928
2022-173,2022-52,0.0574,35.0846944,-106.5979977
2022-174,2022-53,0.0574,35.0595393,-106.594039
2022-175,2022-54,0.0574,34.8613899,-106.7015717
2022-176,2022-55,0.0574,35.1458336,-106.6525687
2022-177,2022-56,0.0230,35.1583723,-106.704153
2022-178,2022-57,1.0101,35.0919512,-106.6723316
2022-179,2022-58,0.0011,35.1024411,-106.7206079
2022-180,2022-59,0.2525,35.0934875,-106.5010051
2022-181,2022-60,0.0023,35.0937956,-106.6099725
2022-182,2022-61,0.0115,35.1243564,-106.5827563
2022-183,2022-62,0.1148,35.0982139,-106.5828094
2022-184,2022-63,0.0344,35.0838848,-106.6660734
2022-185,2022-64,0.0344,35.0964869,-106.5554168
2022-186,2022-65,0.1722,35.2919468,-106.5986941
2022-187,2022-66,0.0344,35.1244281,-106.6816494
2022-188,2022-67,0.2525,35.1316976,-106.671088
2022-189,2022-68,0.2525,35.1473493,-106.5663504
2022-190,2022-69,0.0115,35.0671061,-106.6114488
2022-191,2022-70,0.0574,35.16698,-106.5358814
2022-192,2022-71,0.2525,35.118812,-106.655421
2022-193,2022-72,0.1722,35.217028,-106.670226
2022-194,2022-73,0.1722,34.9765582,-106.7225428
2022-195,2022-74,0.0230,35.09179,-106.4912305
2022-196,2022-75,0.2525,35.0663682,-106.6102665
2022-197,2022-76,0.0574,35.1727361,-106.6442368
2022-198,2022-77,0.0574,35.0823287,-106.6812285
2022-199,2022-78,0.5051,35.088576,-106.660398
2022-200,2022-79,0.0574,35.16987,-106.555702
2022-201,2022-80,0.1722,35.2288689,-106.6413815
2022-202,2022-81,0.0574,35.0670609,-106.6110467
2022-203,2022-82,0.0344,35.1327832,-106.6515135
2022-204,2022-83,0.0023,35.0804113,-106.6313421
2022-205,2022-84,0.1148,35.0998255,-106.5960696
2022-206,2022-85,0.0574,35.1242498,-106.5730097
2022-207,2022-86,0.0230,35.1553965,-106.6933178
2022-208,2022-87,0.0574,35.1277057,-106.680014
2022-209,2022-88,0.2525,35.2273396,-106.6757631
2022-210,2022-89,0.1722,35.139308,-106.6396264
2022-211,2022-90,0.5051,35.1526815,-106.3523159
2022-212,2022-91,0.1148,35.0689623,-106.6166982
2022-213,2022-92,0.5051,35.0802779,-106.6649164
2022-214,2022-93,0.0230,35.0601573,-106.6900482
2022-215,2022-94,0.1148,35.1276094,-106.5812115
2022-216,2022-95,0.5051,35.2664586,-106.7246621
2022-217,2022-96,0.0574,35.1788308,-106.549018
2022-218,2022-97,0.5051,35.165409,-106.5413747
2022-219,2022-98,0.0230,35.0836072,-106.6028288
2022-220,2022-99,0.1148,35.1873997,-106.3233901
2022-221,2022-100,0.0011,35.1921581,-106.323436
2022-222,2022-101,1.0000,35.1785097,-106.6885914
2022-223,2022-102,1.3,35.0904676,-106.665653
2022-224,2022-103,0.0115,35.1364758,-106.4915987
2022-225,2022-104,0.0574,35.08106,-106.643625
2022-226,2022-105,0.0574,36.901829,-104.402767
2022-227,2022-106,0.08,35.1233958,-106.6783186
2023-228,2023-1,0.5051,35.0923883,-106.4977946
2023-229,2023-2,0.0574,35.1143333,-106.6738433
2023-230,2023-3,0.0574,35.1262213,-106.6676468
2023-231,2023-4,0.0230,35.1386556,-106.5518346
2023-232,2023-5,0.0344,35.0554334,-106.6471061
2023-233,2023-6,0.0011,35.0627123,-106.5080639
2023-234,2023-7,0.5051,35.0694587,-106.617079
2023-235,2023-8,0.0344,35.0008322,-106.6686876
2023-236,2023-9,0.0115,34.989586,-106.671248
2023-237,2023-10,0.0023,35.2915354,-106.5942918
2023-238,2023-11,0.0115,35.0917325,-106.5942457
2023-239,2023-12,0.1722,35.0622421,-106.6062634
2023-240,2023-13,0.0046,35.0948887,-106.5773963
2023-241,2023-14,0.0115,35.1128273,-106.6803461
2023-242,2023-15,0.1148,35.1245143,-106.5050435
2023-243,2023-16,0.2525,35.1650581,-106.5131327
2023-244,2023-17,0.0344,35.156529,-106.3282988
2023-245,2023-18,0.2525,35.151774,-106.5577989
2023-246,2023-19,2.0000,35.1057189,-106.494166
2023-247,2023-20,1.0000,35.0994906,-106.5907925
2023-248,2023-21,0.0344,35.1357883,-106.6643811
2023-249,2023-22,0.0115,35.1587109,-106.6530281
2023-250,2023-23,0.5051,35.1982829,-106.6382907
2023-251,2023-24,0.2525,35.0646858,-106.6016588
2023-252,2023-25,0.5051,35.0689276,-106.5970544
2023-253,2023-26,0.5000,35.118655,-106.675008
2023-254,2023-27,0.0574,35.17621,-106.694493
2023-255,2023-28,0.0046,35.16633,-106.640611
2023-256,2023-29,0.0230,35.14182,-106.646558
2023-257,2023-30,0.5051,35.133608,-106.539464
2023-258,2023-31,0.0574,35.111865,-106.594008
2023-259,2023-32,0.1148,35.88397,-106.328191
2023-260,2023-33,0.0574,35.235856,-106.652304
2023-261,2023-34,0.0230,35.0098459,-106.6713821
2023-262,2023-35,0.0046,35.0880083,-106.5380802
2023-263,2023-36,0.0115,35.1908807,-106.6070462
2023-264,2023-37,0.0230,35.0968438,-106.618604
2023-265,2023-38,0.5051,35.1864855,-106.568417
2023-266,2023-39,0.0344,35.0733994,-106.6143676
2023-267,2023-40,0.0230,35.0603091,-106.5423612
2023-268,2023-41,0.0574,35.0733546,-106.6009205
2023-269,2023-42,0.0344,35.0908354,-106.6592687
2023-270,2023-43,0.0574,35.0641602,-106.5776719
2023-271,2023-44,0.0574,35.0699847,-106.4930664
2023-272,2023-45,0.1148,35.0710362,-106.6180975
2023-273,2023-46,0.0574,35.0666887,-106.6113332
2023-274,2023-47,0.0574,35.1026021,-106.4955056
2023-275,2023-48,0.0046,35.0860309,-106.5983823
2023-276,2023-49,0.1148,35.0547737,-106.5106966
2023-277,2023-50,0.0115,35.1354207,-106.5731838
2023-278,2023-51,0.2525,35.1335321,-106.646281
2023-279,2023-52,0.0230,35.1617289,-106.5884334
2023-280,2023-53,0.0230,34.9709483,-106.677776
2023-281,2023-54,0.0046,35.2164372,-106.7003095
2023-282,2023-55,1.6000,35.0727023,-106.6156656
2023-283,2023-56,0.0115,35.0451773,-106.5131788
2023-284,2023-57,0.0344,35.1015187,-106.6768131
2023-285,2023-58,0.0115,35.2149673,-106.7272481
2023-286,2023-59,0.5051,35.1476511,-106.6485146
2023-287,2023-60,0.0344,35.0839715,-106.5021657
2023-288,2023-61,0.2525,35.086835,-106.598074
2023-289,2023-62,0.0344,35.094056,-106.578963
2023-290,2023-63,0.0007,35.089138,-106.509729
2023-291,2023-64,0.0230,35.187913,-106.629153
2023-292,2023-65,0.0574,35.25525,-106.599268
2023-293,2023-66,0.6887,35.023683,-106.685483
2023-294,2023-67,1.0101,35.109501,-106.677701
2023-295,2023-68,0.5051,35.172248,-106.538671
2023-296,2023-69,0.1722,35.128102,-106.492655
2023-297,2023-70,0.0574,35.148015,-106.515984
2023-298,2023-71,0.2525,35.176909,-106.681474
2023-299,2023-72,0.0574,35.114236,-106.545035
2023-300,2023-73,0.0574,35.112481,-106.671847
2023-301,2023-74,0.0230,35.124856,-106.580805
2023-302,2023-75,0.0574,35.089348,-106.654742
2023-303,2023-76,0.0230,35.098578,-106.592643
2023-304,2023-77,0.0374,35.064652,-106.598877
2023-305,2023-78,0.0115,35.094495,-106.674334
2023-306,2023-79,0.1148,35.100896,-106.553092
2023-307,2023-80,0.0115,35.13616,-106.659251
2023-308,2023-81,0.0115,35.226744,-106.634127
2023-309,2023-82,0.5051,35.171,-106.548401
2023-310,2023-83,0.9871,35.082397,-106.589369
2023-311,2023-84,0.2525,35.107478,-106.55547
2023-312,2023-85,0.1148,35.092399,-106.602123
2023-313,2023-86,0.0574,35.316646,-106.480511
2023-314,2023-87,0.1722,35.184258,-106.49797
2023-315,2023-88,2.0000,35.146542,-106.25164
2023-316,2023-89,2.0000,35.102134,-106.585593
2023-317,2023-90,2.0000,35.147537,-106.516633
2023-318,2023-91,0.0184,35.143914,--106.526186
2023-319,2023-92,0.1148,35.118646,-106.600839
2023-320,2023-93,0.1148,35.30015,-106.58785
2023-321,2023-94,0.1148,35.092145,-106.580066
2023-322,2023-95,0.1148,35.093962,-106.593812
2023-323,2023-96,0.0344,35.314516,-106.594664
2023-324,2023-97,0.2525,35.080343,-106.593881
2023-325,2023-98,0.2525,35.115578,-106.658188
2023-326,2023-99,0.2525,35.126375,-106.649141
2023-327,2023-100,0.1148,35.13684,-106.505426
2023-328,2023-101,0.1722,35.138876,-106.711258
2023-329,2023-102,0.0023,35.09434,-106.664754
2023-330,2023-103,0.2525,35.136089,-106.508368
2023-331,2023-104,0.0574,35.083078,-106.596114
2023-332,2023-105,0.5051,35.305156,-106.580851
2023-333,2023-106,0.0230,35.218478,-106.702026
2023-334,2023-107,0.0574,35.127302,-106.501997
2023-335,2023-108,0.0046,35.097382,-106.505334
2023-336,2023-109,0.5051,35.085593,-106.598485
2023-337,2023-110,0.0574,35.144384,-106.654154
2023-338,2023-111,0.1148,35.096485,-106.680038
2023-339,2023-112,0.1722,35.066188,-106.670235
2023-340,2023-113,0.2525,35.047178,-106.689765
2023-341,2023-114,0.1722,35.158486,-106.705197
2023-342,2023-115,0.2525,35.062128,-106.587148
2023-343,2023-116,0.1148,35.060644,-106.577329
2023-344,2023-117,0.0011,35.058979,-106.592587
2023-345,2023-118,0.0046,35.135702,-106.496343
2023-346,2023-119,0.0115,35.069814,-106.613118
2023-347,2023-120,0.0230,35.731199,-105.967303
2023-348,2023-121,0.0115,34.993875,-106.669523
2023-349,2023-122,0.0115,35.122947,-106.497198
2023-350,2023-123,0.0115,35.074752,-106.609306
2023-351,2023-124,0.0230,35.066783,-106.609746
2023-352,2023-125,0.0115,35.11974,-106.540651
2023-353,2023-126,0.1722,35.10301,-106.754265
2023-354,2023-127,0.0011,35.139627,-106.65902
2023-355,2023-128,0.0023,35.117807,-106.583982
2023-356,2023-129,0.0023,35.077518,-106.684336
2023-357,2023-130,0.2525,35.22898,-106.648964
2023-358,2023-131,0.0574,35.059276,-106.667352
2024-359,2024-1,0.0230,35.112611,-106.5718
2024-360,2024-2,0.5051,35.164542,-106.735242
2024-361,2024-3,0.0574,35.185375,-106.54588
2024-362,2024-4,0.0115,35.0816,-106.6769
2024-363,2024-5,1.0101,35.242371,-106.605807
2024-364,2024-6,1.0101,35.11863,-106.573849
2024-365,2024-7,1.0101,35.121177,-106.578295
2024-366,2024-8,0.0459,35.236804,-106.641166
2024-367,2024-9,0.0918,35.093657,-106.482999
2024-368,2024-10,1.0101,34.970036,-106.32421
2024-369,2024-11,0.0918,35.163961,-106.654596
2024-370,2024-12,2.0202,35.053246,-106.705456
2024-371,2024-13,2.0000,35.117555,-106.549118
2024-372,2024-14,0.1148,35.077448,-106.603549
2024-373,2024-15,0.2525,35.167786,-106.503747
2024-374,2024-16,0.0344,35.090966,-106.609481
2024-375,2024-17,1.0101,35.123418,-106.576155
2024-376,2024-18,0.0574,35.227594,-106.606551
2024-377,2024-19,0.0230,35.307352,-106.459623
2024-378,2024-20,1.0000,35.169482,-106.511693
2024-379,2024-21,0.0253,35.10161,-106.553434
2024-380,2024-22,0.9871,35.064457,-106.591245
2024-381,2024-23,0.0344,35.202261,-106.749314
2024-382,2024-24,0.1722,35.098845,-106.6397
2024-383,2024-25,0.0230,35.119584,-106.528875
2024-384,2024-27,0.0230,35.059665,-106.593502
2024-385,2024-28,0.1722,35.123365,-106.572353
2024-386,2024-29,0.0230,35.172946,-106.694941
2024-387,2024-30,0.0344,35.166161,-106.705022
2024-388,2024-31,0.0230,35.092737,-106.596216
2024-389,2024-32,0.0459,35.145328,-106.651802
2024-390,2024-33,0.1722,35.140081,-106.540899
2024-391,2024-34,0.5000,35.174192,-106.690757
2024-392,2024-35,0.0574,35.158571,-106.570639
2024-393,2024-36,0.1722,35.142998,-106.647235
2024-934,2024-37,0.0344,35.137252,-106.562915
2024-395,2024-38,0.0230,35.063459,-106.596693
2024-396,2024-39,0.2525,35.223091,-106.617685
2024-397,2024-40,0.0011,35.014649,-106.692433
2024-398,2024-41,0.1148,35.153585,-106.679672
2024-399,2024-42,0.0344,35.072116,-106.580565
2024-400,2024-43,1.0000,35.126266,-106.669096
2024-401,2024-44,0.0115,35.142438,-106.692942
2024-402,2024-45,0.3000,35.150221,-106.511478
2024-403,2024-46,0.0115,35.263285,-106.666282
2024-404,2024-47,0.0230,35.094406,-106.494331
2024-405,2024-48,0.0046,35.071261,-106.596151
2024-406,2024-49,0.1722,35.079203,-106.543964
2024-407,2024-50,0.0230,35.114949,-106.673262
2024-408,2024-51,0.1148,35.092563,-106.534735
2024-409,2024-52,0.0046,35.121961,-106.537028
2024-410,2024-53,0.5051,35.161368,-106.548856
2024-411,2024-54,0.0230,35.118919,-106.570078
2024-412,2024-55,0.0344,35.124832,-106.676407
2024-413,2024-56,0.1148,35.122586,-106.554747
2024-414,2024-57,0.0230,35.274305,-106.631778
2024-415,2024-58,1.0101,35.094408,-106.660228
2024-416,2024-59,1.0101,35.092069,-106.591109
2024-417,2024-60,0.0046,35.144138,-106.699832
2024-418,2024-61,0.0230,35.356861,-106.688061
2024-419,2024-62,0.0115,35.132102,-106.545708
2024-420,2024-63,0.0230,35.094377,-106.570663
2024-421,2024-64,0.0918,35.081516,-106.509988
2024-422,2024-65,0.0574,35.07378,-106.658687
2024-423,2024-66,0.1722,35.231761,-106.67348
2024-424,2024-67,0.1033,35.041978,-106.691453
2024-425,2024-68,0.5051,35.118623,-106.573859
2024-426,2024-69,0.0344,35.09735,-106.575515
2024-427,2024-70,0.1148,35.149851,-106.510177
2024-428,2024-71,0.1033,35.305776,-106.583138
2024-429,2024-72,0.1148,35.109664,-106.530512
2024-430,2024-73,0.0344,35.002025,-106.69715
2024-431,2024-74,0.2525,35.094403,-106.494449
2024-432,2024-75,0.5051,35.134659,-106.636815
2024-433,2024-76,0.0115,35.324603,-106.583705
2024-434,2024-77,0.2000,35.097801,-106.495278
2024-435,2024-78,0.1148,35.111636,-106.511569
2024-436,2024-79,0.0459,35.252054,-106.666984
2024-437,2024-80,0.0115,35.170921,-106.515518
2024-438,2024-81,0.0574,35.074232,-106.615574
2024-439,2024-82,0.5051,35.183221,-106.628371
2024-440,2024-83,0.1722,35.154422,-106.633837
2024-441,2024-84,0.2066,34.964189,-106.694293
2024-442,2024-85,0.5051,35.161832,-106.710772
2024-443,2024-86,1.0000,35.170873,-106.698794
2024-444,2024-87,0.2525,35.196328,-106.56245
2024-445,2024-88,0.0230,35.119359,-106.598032
2024-446,2024-89,0.0046,35.164065,-106.534795
2024-447,2024-90,0.1148,35.09673,-106.553517
2024-448,2024-91,0.0230,35.070841,-106.609946
2024-449,2024-92,0.1148,35.068302,-106.642197
2024-450,2024-93,0.0115,35.048329,-106.508512
2024-451,2024-94,0.5051,35.070984,-106.615891
2024-452,2024-95,0.0046,35.6417,-105.978444
2024-453,2024-96,0.0459,35.092655,-106.691838
2024-454,2024-97,0.0115,35.073563,-106.686542
2024-455,2024-98,0.1148,35.149159,-106.515925
2024-456,2024-99,0.5051,35.087723,-106.601864
2024-457,2024-100,0.0115,35.328193,-106.489106
2024-458,2024-101,0.0230,35.111701,-106.329894
2024-459,2024-102,1.1478,35.08469,-106.58417
2024-460,2024-103,1.0000,35.076978,-106.640672
2024-461,2024-104,0.1148,35.194565,-106.60302
2024-462,2024-105,0.0574,35.165704,-106.614433
2024-463,2024-106,0.4300,35.112545,-106.732809
2024-464,2024-107,0.0574,35.083994,-106.502301
2024-465,2024-108,0.2500,35.083983,-106.610334
2024-466,2024-109,0.0344,35.147244,-106.694483
2024-467,2024-110,0.1148,35.085334,-106.603468
2024-468,2024-111,0.1148,35.104495,-106.542843
2024-469,2024-112,0.0574,35.071427,-106.640988
2024-470,2024-113,0.0402,34.85574,-106.706573
2024-471,2024-114,0.0344,35.0857666,-106.6405144
2024-472,2024-115,1.0101,35.0899112,-106.5889129
2024-473,2024-116,0.0230,35.098946,-106.654869
2024-474,2024-117,0.0184,35.151748,-106.689627
2024-475,2024-118,0.0046,34.65,-106.76
2024-476,2024-119,0.0011,35.094546,-106.674645
2024-477,2024-120,1.0000,35.1017957,-106.6534649
2024-478,2024-121,0.0115,35.0991612,-106.5878994
2024-479,2024-122,0.0275,35.156849,-106.553239
2024-480,2024-123,0.0115,35.190064,-106.685798
2024-481,2024-124,0.0918,34.818993,-106.785598
2024-482,2024-125,0.0115,34.816294,-106.794419
2024-483,2024-126,0.0344,35.145365,-106.690331
2024-484,2024-127,0.1722,34.9876515,-106.6770464
2024-485,2024-128,0.0004,35.126299,-106.682136
2024-486,2024-129,1.0000,35.2422829,-106.7166626
2024-487,2024-130,0.0230,35.0744068,-106.6419544
2024-488,2024-131,0.0230,35.065333,-106.6019618
2024-489,2024-132,0.0459,35.197365,-106.681620
2024-490,2024-133,0.0918,35.1378884,-106.6476162
2024-491,2024-134,0.0230,34.6532458,-106.7213331
2024-492,2024-135,0.0230,35.0919435,-106.5905289
2024-493,2024-136,0.1148,35.0989437,-106.7338885
2024-494,2024-137,0.0459,35.1031198,-106.1699512
2024-495,2024-138,0.1148,35.0989384,-106.592925
2024-496,2024-139,0.0344,35.1704363,-106.6403578
2024-497,2024-140,0.0230,35.0792358,-106.6256089
2024-498,2024-141,0.2525,35.0299388,-106.7427371
2024-499,2024-142,0.0023,35.02276,-106.685528
2024-500,2024-143,0.0230,35.1515338,-106.6395164
2024-501,2024-144,0.5051,35.1460142,-106.6939745
2024-502,2024-145,0.5051,35.06719,-106.5829615
2024-503,2024-146,0.0230,35.1029082,-106.5559139
2024-504,2024-146,0.0344,35.142858,-106.642049
2024-505,2024-148,0.1722,35.1163325,-106.5482164
2024-506,2024-149,0.5051,35.0465496,-106.6681419
2024-507,2024-150,0.1148,35.255674,-106.687717
2024-508,2024-151,0.0115,35.091186,-106.543703
2024-509,2024-152,0.0115,35.1276174,-106.6505442
2024-510,2024-153,0.1148,32.784038,-108.268582
2024-511,2024-154,0.0230,35.3134798,-106.492505
2024-512,2024-155,0.0918,35.1618376,-106.6399753
2024-513,2024-156,1.5000,35.1077232,-106.582988
2024-514,2024-157,0.5051,35.2957353,-106.6716242
2024-515,2024-158,0.0230,35.076112,-106.6584528
2024-516,2024-159,0.0230,35.1459706,-106.6616549
2024-517,2024-160,0.0344,35.0872397,-106.5366605
